,id,lat,lon
19363,5816702201,1,33
19364,5816707388,4,29
19366,5818984136,6,29
19371,5819022237,8,29
19721,6153871749,18,59
19938,6611075385,12,36
19955,7194253755,8,25
21139,8192103449,10,32
21162,8192103550,23,45
21185,8192103754,10,43
21200,8192104068,10,38
21204,8192104238,10,35
21210,8192104548,10,30
21212,8192104694,17,30
21215,8192104858,10,41
21220,8192104988,23,46
21228,8192105331,10,33
21242,8192105951,10,39
21244,8192106111,10,36
21248,8192106420,10,31
21250,8192106727,10,42
21256,8192107039,10,37
21258,8192107202,10,34
21267,8192107650,19,17
21269,8192107818,10,40
21584,8203332478,13,44
21620,8203340752,12,43
21660,8203390345,6,32
21661,8203419736,8,34
21662,8203447718,4,30
21664,8203497676,8,30
21665,8203503709,6,30
21964,8975156091,16,47
22266,9521311133,9,7
22300,9676083537,9,6
22326,10187930232,7,26
22330,10200949140,6,52
22331,10210137589,15,38
22472,10965586395,4,16
22484,11238376118,7,37
22486,11238376120,17,49
